notification_cpu, web_api_cpu, processor_cpu, notification_memory, web_api_memory, processor_memory, notification_error_rate, web_api_response_time_p95, processor_response_time_p95, notification_api_health, notification_delivery_success, notification_message_rate, notification_queue, notification_queue_depth, notification_thread_count, processor_db_connections, processor_memory_growth, processor_processing_rate, processor_queue, processor_queue_depth, processor_redis_health, processor_thread_count, web_api_db_connections, web_api_errors, web_api_queue_depth, web_api_redis_health, web_api_requests, web_api_requests_per_second, web_api_thread_count, timestamp                 , anomaly_label, anomaly_type
           29.57,       52.85,         34.07,               44.55,          51.03,            57.88,                    0.05,                    277.22,                      148.25,                    0.95,                          1.0 ,                    164.11,               0.18,                     0.18,                     12.51,                     6.58, 1.05                   ,                     92.27,            0.43,                  5.34,                   0.96,                  27.33,                   8.24,           0.71,                3.0 ,                 0.94,             7.11,                       10.51,                14.37, realistic_cpu_spike_374   ,             1, cpu_spike
           23.62,       96.82,         58.49,               50.2 ,          44.98,            54.1 ,                    0.17,                    295.84,                      171.49,                    0.9 ,                          0.88,                     18.54,               0.97,                     8.38,                     13.8 ,                     8.66, -0.18                  ,                     35.56,            7.83,                  0.37,                   0.85,                  16.94,                   6.2 ,           0.92,                1.32,                 0.95,            11.31,                       42.39,                21.17, realistic_cpu_spike_117   ,             1, cpu_spike
           25.97,       25.27,         26.78,               57.11,          35.85,            56.95,                    0.07,                     85.92,                      111.76,                    1.0 ,                          0.91,                     36.99,               0.04,                     8.86,                     20.02,                    13.8 , 0.0                    ,                    136.96,            9.92,                  1.68,                   0.89,                  14.11,                   6.41,           0.44,                5.73,                 0.94,            10.64,                        3.21,                15.66, realistic_normal_494      ,             0, normal
           16.09,       11.79,         35.36,               10.41,          57.67,            54.34,                    0.98,                    376.7 ,                      248.58,                    0.75,                          0.95,                     11.5 ,               1.95,                     1.05,                     14.62,                    10.26, 0.38                   ,                    152.5 ,            4.59,                  1.58,                   0.97,                  19.13,                   7.48,           3.95,                0.4 ,                 0.91,            10.55,                       17.7 ,                 6.23, realistic_service_crash_78,             1, service_crash
           35.85,       26.16,          0.0 ,               68.81,          49.21,            77.36,                    0.0 ,                    208.13,                      142.54,                    0.78,                          0.89,                      2.34,              11.05,                    13.23,                     15.17,                     1.1 , 0.35                   ,                     79.75,           10.12,                  3.23,                   1.0 ,                  12.67,                   9.83,           2.47,               15.9 ,                 0.96,             8.3 ,                       19.66,                11.85, realistic_memory_leak_160 ,             1, memory_leak
            4.42,       10.69,          4.82,               34.75,          50.36,            45.29,                    0.01,                    163.36,                       96.93,                    1.0 ,                          0.96,                     94.41,              23.25,                     4.99,                      3.94,                    14.59, 0.33                   ,                     35.95,            1.69,                  9.56,                   1.0 ,                  24.1 ,                  12.73,           1.32,                1.19,                 0.99,            10.78,                       40.43,                14.87, realistic_normal_865      ,             0, normal
           11.83,       19.33,          0.0 ,               49.75,          51.57,            46.64,                    0.01,                    201.14,                       80.49,                    0.82,                          0.93,                     21.76,               3.96,                     3.81,                     16.02,                    10.43, -0.28                  ,                      7.41,            0.21,                  2.39,                   0.86,                  16.37,                   7.71,           0.17,                3.53,                 0.78,             6.71,                        5.01,                15.65, realistic_normal_529      ,             0, normal
           40.4 ,       50.12,         20.61,               39.92,          60.41,            37.14,                    0.0 ,                    329.05,                      157.28,                    1.0 ,                          1.0 ,                     30.36,               5.93,                     0.07,                     10.05,                    10.08, -0.01                  ,                    201.46,            1.59,                  5.74,                   0.9 ,                  10.42,                   6.83,           1.31,                1.11,                 0.88,             9.23,                      164.67,                13.73, realistic_cpu_spike_301   ,             1, cpu_spike
           14.29,       19.45,         16.89,               57.79,          53.37,            45.93,                    0.0 ,                    146.26,                      106.87,                    0.97,                          1.0 ,                     87.64,              20.68,                     1.7 ,                     14.46,                    11.34, -0.69                  ,                     38.98,            0.84,                  4.03,                   0.84,                  22.86,                  10.75,           1.79,                2.9 ,                 0.84,             8.25,                       10.82,                14.16, realistic_normal_70       ,             0, normal
           28.51,       17.18,         22.27,               57.54,          71.27,            58.71,                    0.03,                    111.58,                      127.85,                    0.96,                          0.97,                    102.18,               6.61,                    11.18,                     14.56,                    12.27, -0.31                  ,                    126.0 ,            4.14,                  6.98,                   1.0 ,                  15.2 ,                   9.22,           1.35,                1.49,                 0.87,             6.27,                       41.28,                14.49, realistic_memory_leak_248 ,             1, memory_leak
           50.11,       18.8 ,         37.46,               45.72,          47.81,            52.68,                    0.03,                    273.39,                      189.14,                    0.93,                          0.95,                     47.68,               7.55,                    12.69,                     17.28,                     8.22, 0.34                   ,                     46.88,            1.16,                  1.77,                   0.77,                  15.49,                   5.17,           1.25,                7.89,                 0.93,             9.42,                       73.53,                 8.29, realistic_cpu_spike_248   ,             1, cpu_spike
           23.14,       24.88,         29.2 ,               41.53,          51.17,            42.37,                    0.01,                    198.66,                       83.37,                    0.85,                          0.97,                     64.43,               0.43,                     4.47,                     19.13,                    11.26, 0.09                   ,                     93.61,            3.03,                  7.46,                   0.98,                   8.3 ,                   9.36,           0.26,                6.35,                 0.89,            13.32,                       36.21,                14.67, realistic_normal_571      ,             0, normal
           16.07,       35.13,         10.44,               41.33,          52.1 ,            50.39,                    0.03,                     97.69,                      142.48,                    0.96,                          1.0 ,                     37.4 ,              13.07,                     0.16,                     14.61,                     8.45, -0.14                  ,                      2.07,            4.74,                  8.2 ,                   0.95,                  23.85,                   3.95,           1.61,                4.71,                 1.0 ,             7.33,                       49.48,                18.67, realistic_normal_420      ,             0, normal
           11.6 ,       53.37,         17.16,               60.61,          47.14,            61.39,                    0.03,                    174.51,                      117.73,                    0.94,                          0.9 ,                     67.76,               1.23,                     0.6 ,                     23.1 ,                    12.57, 0.82                   ,                    186.08,            3.93,                  2.7 ,                   0.98,                  16.09,                   6.91,           1.57,                3.81,                 1.0 ,             7.96,                       15.74,                19.51, realistic_normal_948      ,             0, normal
           22.65,       70.82,         71.79,               40.36,          49.93,            47.9 ,                    0.13,                    233.51,                      277.22,                    0.97,                          0.94,                     55.08,               2.56,                    12.11,                     25.64,                    13.09, 0.12                   ,                     79.73,            0.83,                  8.28,                   0.97,                  19.36,                   9.78,           1.02,                3.12,                 0.92,             8.42,                       54.72,                13.58, realistic_cpu_spike_220   ,             1, cpu_spike
           34.05,       43.59,         39.9 ,               48.8 ,          49.27,            52.64,                    0.07,                    213.16,                      150.11,                    0.84,                          0.96,                     72.35,               4.74,                     0.42,                     15.37,                     9.85, -0.42                  ,                     95.81,            4.03,                 12.6 ,                   1.0 ,                  20.7 ,                  12.52,           1.08,                4.02,                 0.91,             5.53,                        0.79,                15.02, confusing_7               ,             1, cpu_spike
            3.09,       25.21,          5.74,               31.79,          44.32,            50.88,                    0.09,                    166.16,                      110.62,                    0.92,                          1.0 ,                    113.31,              14.29,                     6.49,                     19.87,                     9.56, -0.99                  ,                     47.73,            8.82,                  5.36,                   0.84,                   5.83,                  10.48,           2.05,                2.73,                 0.87,            11.13,                        3.09,                17.79, realistic_normal_1193     ,             0, normal
           49.81,       25.13,         59.41,               31.74,          56.22,            50.69,                    0.12,                    215.91,                      152.6 ,                    0.88,                          0.89,                     71.15,               2.06,                    21.29,                     11.94,                    11.5 , -0.38                  ,                      0.6 ,            8.21,                  3.96,                   1.0 ,                  26.96,                   5.8 ,           0.33,                3.34,                 0.97,             7.67,                       82.03,                19.55, realistic_cpu_spike_371   ,             1, cpu_spike
           16.13,       11.04,         12.72,               41.48,          45.56,            42.31,                    0.01,                    122.27,                       94.41,                    1.0 ,                          0.99,                     42.69,              18.35,                     0.52,                     15.12,                    13.99, 1.22                   ,                     19.68,            1.96,                  5.0 ,                   1.0 ,                  15.52,                   8.39,           1.29,                2.2 ,                 0.88,             8.69,                        4.27,                14.79, realistic_normal_1192     ,             0, normal
           15.81,       34.24,         23.48,               37.86,          55.62,            58.38,                    0.01,                    187.52,                      106.3 ,                    1.0 ,                          1.0 ,                    101.47,               0.1 ,                     1.4 ,                     17.55,                     9.64, -0.33                  ,                    110.35,            3.15,                  9.48,                   0.83,                   8.65,                   9.48,           1.56,                1.35,                 1.0 ,            10.2 ,                       71.22,                18.03, realistic_normal_583      ,             0, normal
           13.33,       14.96,         32.48,               40.16,          60.96,            52.75,                    0.0 ,                    130.48,                       97.35,                    1.0 ,                          1.0 ,                    112.75,               5.06,                     4.76,                     21.07,                    10.1 , -0.28                  ,                      8.14,            6.69,                  3.59,                   0.93,                  15.45,                  10.71,           0.07,                0.37,                 0.9 ,             8.4 ,                       17.59,                21.49, realistic_normal_51       ,             0, normal
           59.0 ,       68.12,         74.45,               58.05,          53.95,            42.94,                    0.0 ,                    277.69,                      268.38,                    1.0 ,                          0.95,                     25.98,               3.33,                     0.14,                      9.2 ,                     8.97, -0.37                  ,                      2.36,            3.09,                  3.7 ,                   0.86,                   8.66,                  17.16,           2.04,                0.19,                 1.0 ,            10.61,                        2.1 ,                28.12, realistic_cpu_spike_244   ,             1, cpu_spike
           48.19,       59.79,         71.71,               42.34,          50.41,            60.29,                    0.04,                    343.16,                      194.36,                    0.99,                          0.92,                     53.51,               2.98,                     7.51,                      9.22,                     6.06, -0.17                  ,                     17.19,            1.01,                  1.1 ,                   0.88,                  22.81,                   9.84,           2.36,                3.58,                 0.93,            10.05,                      164.57,                16.53, realistic_cpu_spike_87    ,             1, cpu_spike
            8.54,       15.29,         16.7 ,               44.73,          53.94,            49.91,                    0.01,                    173.24,                      115.54,                    0.79,                          1.0 ,                     51.53,               2.9 ,                     0.03,                     25.76,                     9.01, -0.39                  ,                     28.2 ,           16.67,                 10.78,                   0.99,                   6.18,                   6.86,           0.13,                0.18,                 0.98,             9.7 ,                      159.24,                12.39, realistic_normal_1124     ,             0, normal
           10.87,       26.44,         14.45,               41.52,          48.14,            49.55,                    0.01,                    130.85,                       92.17,                    0.96,                          1.0 ,                     78.2 ,               1.92,                     4.92,                      5.35,                    10.8 , 0.54                   ,                     13.26,            0.12,                 10.2 ,                   1.0 ,                  15.24,                  13.67,           0.51,                3.27,                 0.88,            11.84,                      207.02,                16.57, realistic_normal_29       ,             0, normal
           38.69,       75.92,         78.04,               42.78,          55.95,            53.71,                    0.05,                    158.58,                      119.31,                    0.86,                          1.0 ,                     85.72,               2.31,                     4.98,                     33.01,                     9.48, 0.47                   ,                     14.4 ,            0.39,                  9.17,                   1.0 ,                   9.43,                   7.08,           2.77,                1.15,                 0.91,             9.17,                       65.44,                13.77, realistic_cpu_spike_20    ,             1, cpu_spike
            5.3 ,       34.73,         20.51,               46.32,          45.76,            60.19,                    0.04,                    263.7 ,                       64.82,                    1.0 ,                          1.0 ,                      9.47,               2.66,                     3.29,                      7.35,                    11.33, 0.08                   ,                      2.33,           15.08,                  4.36,                   0.92,                  21.87,                  13.09,           2.26,                1.36,                 0.94,             9.96,                      115.27,                 7.87, realistic_normal_479      ,             0, normal
           24.35,       82.29,         45.17,               60.81,          42.4 ,            56.16,                    0.09,                    253.12,                      173.76,                    1.0 ,                          1.0 ,                     10.66,               1.68,                     3.62,                     22.79,                     8.96, 0.84                   ,                     16.77,            6.85,                  7.44,                   0.94,                  14.16,                   3.27,           0.62,                1.49,                 0.8 ,            12.29,                       22.79,                16.04, realistic_cpu_spike_174   ,             1, cpu_spike
           22.32,       17.56,         15.64,               42.69,          46.06,            57.79,                    0.04,                    185.94,                       31.92,                    1.0 ,                          1.0 ,                     64.33,              11.79,                    16.63,                     12.97,                    10.84, -0.84                  ,                     49.96,            0.89,                  0.27,                   0.96,                  20.47,                  14.82,           1.41,                0.79,                 1.0 ,             8.76,                      113.63,                26.61, realistic_normal_1087     ,             0, normal
           18.15,       37.44,         12.42,               47.33,          47.82,            46.71,                    0.04,                     50.49,                      130.59,                    0.71,                          1.0 ,                      6.46,               0.6 ,                     2.65,                      9.41,                    14.0 , 0.56                   ,                      9.83,            0.41,                 14.1 ,                   1.0 ,                  12.77,                  11.11,           0.18,                8.62,                 1.0 ,            11.01,                       20.56,                22.03, realistic_normal_231      ,             0, normal
           42.03,       79.29,         50.73,               50.89,          48.08,            35.2 ,                    0.0 ,                    281.82,                      190.75,                    0.93,                          0.91,                     34.24,               0.57,                     0.52,                     17.83,                     9.73, 0.54                   ,                     22.44,           14.89,                  2.55,                   0.83,                  10.54,                  15.29,           0.02,                5.31,                 1.0 ,            11.03,                      101.97,                21.4 , realistic_cpu_spike_59    ,             1, cpu_spike
           18.6 ,       21.07,         26.67,               29.76,          47.4 ,            60.06,                    0.01,                    172.7 ,                       68.99,                    0.92,                          0.86,                     21.92,               1.93,                    16.61,                     14.28,                    10.13, 0.61                   ,                     17.94,            0.5 ,                  7.1 ,                   0.93,                  21.47,                  15.85,           0.06,                0.76,                 0.83,            11.05,                       35.07,                 6.15, realistic_normal_212      ,             0, normal
            6.81,       15.5 ,          0.0 ,               44.29,          63.26,            53.63,                    0.03,                    237.62,                      109.18,                    1.0 ,                          1.0 ,                     28.31,               2.66,                     7.22,                     16.87,                     7.84, 0.17                   ,                    111.33,            0.16,                  6.9 ,                   0.96,                  12.04,                   4.48,           0.09,                4.14,                 0.87,             8.07,                       47.4 ,                14.74, realistic_normal_307      ,             0, normal
           22.85,        7.44,         10.79,               63.23,          48.71,            48.33,                    0.02,                    111.58,                       74.55,                    1.0 ,                          1.0 ,                    204.1 ,               1.23,                    21.31,                      6.37,                    12.5 , 0.37                   ,                      4.7 ,            1.79,                  0.3 ,                   0.96,                  14.84,                  10.44,           0.01,                6.24,                 0.86,             9.35,                       20.55,                13.67, realistic_normal_727      ,             0, normal
           32.53,       78.74,         41.38,               67.96,          45.38,            53.28,                    0.03,                    196.36,                      155.02,                    1.0 ,                          1.0 ,                     71.61,              10.32,                     1.24,                     12.03,                    13.75, 0.61                   ,                     14.8 ,            4.59,                  3.27,                   0.99,                  18.34,                  12.95,           1.47,                1.7 ,                 1.0 ,            13.13,                       30.5 ,                 7.4 , realistic_cpu_spike_162   ,             1, cpu_spike
           11.3 ,       41.13,         33.33,               53.66,          46.04,            46.82,                    0.02,                    159.58,                       53.4 ,                    0.94,                          1.0 ,                      3.96,               4.63,                    13.38,                      9.07,                    11.04, -0.07                  ,                      1.09,            1.33,                  7.08,                   1.0 ,                  17.11,                   9.27,           0.81,                5.17,                 0.98,             8.6 ,                      138.44,                14.91, realistic_normal_447      ,             0, normal
           14.5 ,       40.63,         22.8 ,               45.97,          51.88,            47.34,                    0.0 ,                    150.37,                       83.61,                    0.9 ,                          0.94,                     22.32,               2.73,                     0.52,                      9.65,                    10.31, -0.04                  ,                     38.54,            2.94,                  5.03,                   0.92,                  21.17,                  11.3 ,           1.83,                2.78,                 0.96,             7.85,                       41.11,                17.4 , realistic_normal_381      ,             0, normal
           34.44,       84.29,         59.2 ,               48.12,          50.69,            39.35,                    0.05,                    321.87,                      138.0 ,                    0.88,                          1.0 ,                      4.6 ,               0.06,                     2.31,                     21.16,                     6.31, 0.66                   ,                    109.65,            9.09,                  3.31,                   0.89,                  13.9 ,                   7.87,           0.55,               16.13,                 1.0 ,            11.82,                       76.16,                24.83, realistic_cpu_spike_138   ,             1, cpu_spike
           16.13,       35.55,         15.59,               48.17,          50.09,            54.55,                    0.0 ,                    132.88,                       75.89,                    0.94,                          0.97,                      3.09,               1.35,                     1.54,                     18.88,                     6.75, -0.06                  ,                    104.22,            2.08,                  1.1 ,                   1.0 ,                  20.14,                   5.2 ,           0.46,                5.59,                 1.0 ,             7.96,                       21.34,                26.03, realistic_normal_694      ,             0, normal
           23.7 ,       32.83,         16.66,               49.5 ,          44.13,            48.51,                    0.04,                    181.79,                       99.47,                    0.84,                          0.97,                     29.28,               2.3 ,                     5.54,                     14.9 ,                     8.14, -0.86                  ,                     30.37,            7.45,                  2.93,                   0.95,                  20.11,                   6.47,           0.25,                1.34,                 0.98,            11.49,                       36.88,                14.4 , realistic_normal_567      ,             0, normal
           15.5 ,       32.86,          5.45,               48.29,          47.36,            49.4 ,                    0.01,                    100.71,                      132.81,                    0.91,                          0.97,                      3.89,               1.45,                     0.98,                     11.45,                    13.28, -0.15                  ,                     33.95,            5.82,                  5.28,                   1.0 ,                  18.58,                  10.51,           0.26,                3.4 ,                 0.81,            11.5 ,                       10.55,                26.2 , realistic_normal_588      ,             0, normal
           27.75,       80.75,         15.6 ,               53.27,          54.15,            45.29,                    0.24,                    299.78,                      186.59,                    1.0 ,                          1.0 ,                     32.71,               1.34,                     0.44,                     24.72,                     4.51, 1.07                   ,                     10.67,            2.19,                  2.69,                   0.96,                  11.93,                  10.82,           1.25,                3.97,                 0.98,            10.03,                       48.14,                22.47, realistic_cpu_spike_372   ,             1, cpu_spike
            0.0 ,       33.57,         44.73,               15.96,          57.15,            44.54,                    0.22,                    355.83,                      300.64,                    0.96,                          1.0 ,                     66.79,               2.75,                     1.02,                      5.93,                     9.12, 0.58                   ,                      4.94,            2.53,                  3.96,                   0.81,                  19.47,                  14.24,           2.17,               24.39,                 1.0 ,            10.84,                       26.63,                19.1 , realistic_service_crash_46,             1, service_crash
           18.09,       41.18,          4.64,               82.47,          74.58,            73.34,                    0.03,                    199.93,                      175.33,                    0.99,                          0.93,                      0.33,              10.47,                     1.91,                     10.87,                     7.8 , -0.04                  ,                    228.88,            8.75,                  4.24,                   1.0 ,                  18.52,                   6.92,           1.27,                4.22,                 1.0 ,            10.67,                      156.56,                23.69, realistic_memory_leak_87  ,             1, memory_leak
           19.36,       62.1 ,         59.85,               38.5 ,          51.75,            46.03,                    0.07,                    244.03,                      196.09,                    0.84,                          0.93,                     50.06,               7.22,                     1.02,                     22.12,                    14.52, 0.43                   ,                     22.08,            0.89,                  1.69,                   0.93,                  17.89,                   9.38,           0.68,                2.14,                 0.93,            11.99,                       29.93,                14.66, realistic_cpu_spike_219   ,             1, cpu_spike
           46.74,       46.85,         76.96,               43.64,          52.44,            46.44,                    0.02,                    303.35,                      234.68,                    1.0 ,                          0.9 ,                    160.66,              14.99,                     0.02,                     16.29,                     8.93, 0.04                   ,                     94.94,           10.88,                  3.65,                   1.0 ,                  19.15,                   3.16,           0.31,                1.5 ,                 0.95,             7.55,                        9.61,                16.14, realistic_cpu_spike_191   ,             1, cpu_spike
           13.62,       36.58,         25.3 ,               39.13,          51.37,            34.99,                    0.02,                    154.45,                      104.57,                    1.0 ,                          1.0 ,                    145.87,               1.75,                     0.01,                     10.59,                     7.86, 0.69                   ,                     45.0 ,            0.08,                  6.52,                   1.0 ,                  20.83,                   6.26,           0.81,                2.1 ,                 0.87,            10.57,                       25.71,                19.41, realistic_normal_120      ,             0, normal
           16.19,       19.96,          8.79,               56.0 ,          61.24,            41.75,                    0.0 ,                    200.01,                       89.84,                    1.0 ,                          0.9 ,                     11.78,               2.69,                    13.13,                     19.47,                    10.44, 0.71                   ,                     25.73,            0.13,                  3.24,                   0.8 ,                  22.81,                   8.94,           0.33,                1.23,                 0.86,             7.87,                       45.71,                 4.64, realistic_normal_744      ,             0, normal
           13.15,       24.24,         18.75,               79.96,          69.17,            69.38,                    0.01,                    245.57,                      139.54,                    0.87,                          1.0 ,                     43.71,               0.25,                     2.65,                     21.7 ,                    16.56, 0.66                   ,                      0.24,            1.11,                 14.96,                   1.0 ,                  15.4 ,                  12.27,           0.44,                1.76,                 0.78,             7.89,                       20.11,                 3.35, realistic_memory_leak_175 ,             1, memory_leak
            3.12,       22.88,         25.54,               14.91,          52.09,            63.74,                    0.06,                    368.08,                      254.54,                    0.96,                          1.0 ,                     44.94,               2.08,                     1.41,                     14.78,                     8.76, 0.86                   ,                    126.44,           18.58,                  1.18,                   1.0 ,                  26.94,                  11.2 ,           0.93,                5.68,                 1.0 ,            10.91,                        2.97,                14.45, realistic_service_crash_31,             1, service_crash
            5.06,       29.58,         18.75,               63.16,          88.45,            59.05,                    0.03,                    239.61,                      177.23,                    0.93,                          1.0 ,                     27.04,               8.56,                     3.42,                     13.24,                     9.35, 0.68                   ,                     42.17,            3.67,                  2.28,                   0.94,                  18.63,                  10.36,           0.57,                2.57,                 0.94,             6.65,                       37.07,                 7.77, realistic_memory_leak_204 ,             1, memory_leak
            3.55,       35.68,          6.16,               56.88,          49.97,            48.41,                    0.01,                     70.77,                      101.13,                    1.0 ,                          0.95,                      4.33,               0.14,                     3.73,                     11.08,                    10.74, 0.06                   ,                      9.4 ,            7.9 ,                  1.9 ,                   1.0 ,                  20.93,                   7.38,           0.07,                5.49,                 0.97,            12.46,                        5.76,                18.91, realistic_normal_1103     ,             0, normal
           23.11,       58.69,         34.03,               75.13,          58.49,            75.12,                    0.01,                    211.96,                      121.67,                    1.0 ,                          0.96,                      2.95,               1.92,                     0.36,                     11.09,                     8.0 , 0.08                   ,                     45.29,            1.34,                  0.97,                   0.76,                  19.52,                  11.85,           1.77,                0.3 ,                 1.0 ,            10.76,                      106.19,                 7.47, realistic_memory_leak_99  ,             1, memory_leak
